"time","Q"
11090,-51.6238
11100,-51.6343
11110,-51.6449
11120,-51.6554
11130,-51.6659
11140,-51.6763
11150,-51.6868
11160,-51.6972
11170,-51.7076
11180,-51.7179
11190,-51.7283
11200,-51.7386
11210,-51.7488
11220,-51.7591
11230,-51.7693
11240,-51.7795
11250,-51.7897
11260,-51.7998
11270,-51.81
11280,-51.8201
11290,-51.8302
11300,-51.8402
11310,-51.8502
11320,-51.8602
11330,-51.8702
11340,-51.8801
11350,-51.8901
11360,-51.8999
11370,-51.9098
11380,-51.9197
11390,-51.9295
11400,-51.9393
11410,-51.949
11420,-51.9588
11430,-51.9685
11440,-51.9782
11450,-51.9879
11460,-51.9975
11470,-52.0071
11480,-52.0168
11490,-52.0263
11500,-52.0359
11510,-52.0454
11520,-52.0549
11530,-52.0644
11540,-52.0738
11550,-52.0832
11560,-52.0926
11570,-52.102
11580,-52.1114
11590,-52.1207
11600,-52.13
11610,-52.1393
11620,-52.1486
11630,-52.1578
11640,-52.167
11650,-52.1762
11660,-52.1854
11670,-52.1945
11680,-52.2036
11690,-52.2127
11700,-52.2218
11710,-52.2308
11720,-52.2398
11730,-52.2488
11740,-52.2578
11750,-52.2668
11760,-52.2757
11770,-52.2846
11780,-52.2935
11790,-52.3023
11800,-52.3112
11810,-52.32
11820,-52.3288
11830,-52.3375
11840,-52.3463
11850,-52.355
11860,-52.3637
11870,-52.3724
11880,-52.3811
11890,-52.3897
11900,-52.3983
11910,-52.4069
11920,-52.4154
11930,-52.424
11940,-52.4325
11950,-52.441
11960,-52.4494
11970,-52.4579
11980,-52.4663
11990,-52.4748
12000,-52.4831
12010,-52.4915
12020,-52.4998
12030,-52.5082
12040,-52.5164
12050,-52.5247
12060,-52.533
12070,-52.5412
12080,-52.5494
12090,-52.5576
12100,-52.5657
12110,-52.5739
12120,-52.582
12130,-52.5901
12140,-52.5982
12150,-52.6063
12160,-52.6143
12170,-52.6223
12180,-52.6303
12190,-52.6383
12200,-52.6462
12210,-52.6542
12220,-52.662
12230,-52.67
12240,-52.6778
12250,-52.6856
12260,-52.6935
12270,-52.7013
12280,-52.709
12290,-52.7168
12300,-52.7245
12310,-52.7323
12320,-52.74
12330,-52.7476
12340,-52.7553
12350,-52.763
12360,-52.7706
12370,-52.7781
12380,-52.7857
12390,-52.7933
12400,-52.8008
12410,-52.8083
12420,-52.8158
12430,-52.8233
12440,-52.8307
12450,-52.8382
12460,-52.8456
12470,-52.853
12480,-52.8603
12490,-52.8677
12500,-52.875
12510,-52.8823
12520,-52.8896
12530,-52.8969
12540,-52.9042
12550,-52.9114
12560,-52.9186
12570,-52.9258
12580,-52.9329
12590,-52.9401
12600,-52.9472
12610,-52.9543
12620,-52.9614
12630,-52.9685
12640,-52.9755
12650,-52.9826
12660,-52.9896
12670,-52.9966
12680,-53.0036
12690,-53.0105
12700,-53.0175
12710,-53.0244
12720,-53.0313
12730,-53.0382
12740,-53.045
12750,-53.0519
12760,-53.0587
12770,-53.0655
12780,-53.0723
12790,-53.079
12800,-53.0858
12810,-53.0925
12820,-53.0992
12830,-53.1059
12840,-53.1126
12850,-53.1192
12860,-53.1259
12870,-53.1325
12880,-53.1391
12890,-53.1457
12900,-53.1522
12910,-53.1587
12920,-53.1653
12930,-53.1718
12940,-53.1783
12950,-53.1847
12960,-53.1912
12970,-53.1976
12980,-53.204
12990,-53.2104
13000,-53.2168
13010,-53.2231
13020,-53.2295
13030,-53.2358
13040,-53.2421
13050,-53.2484
13060,-53.2547
13070,-53.2609
13080,-53.2672
13090,-53.2734
13100,-53.2796
13110,-53.2857
13120,-53.2919
13130,-53.2981
